Date of Travel,City,Company,KM Travelled,Price Charged,Cost of Trip,Population,Users,Number of Males,Payments by Cash,Number of Females,Payments by Card,Average Income
2016-01-03,AUSTIN TX,Pink Cab,44.0,576.15,475.2,698371,14978,1,0,0,1,23788.0
2016-01-03,AUSTIN TX,Yellow Cab,56.0,1781.98,730.2624000000001,698371,14978,2,0,0,2,17329.5
2016-01-03,BOSTON MA,Yellow Cab,194.31,4219.58,2563.8276,248968,80021,10,4,0,6,12973.4
2016-01-03,CHICAGO IL,Pink Cab,98.88000000000001,1591.11,1124.085,1955130,164468,5,4,0,1,18573.2
2016-01-03,CHICAGO IL,Yellow Cab,547.93,12371.42,7241.3243999999995,1955130,164468,26,10,0,16,14501.076923076924
2016-01-03,DALLAS TX,Yellow Cab,180.35,5265.88,2388.0719999999997,942908,22157,8,4,0,4,13390.125
2016-01-03,DENVER CO,Yellow Cab,35.96,1207.84,491.9328,754233,12421,1,0,0,1,14398.0
2016-01-03,LOS ANGELES CA,Pink Cab,460.55,10260.050000000001,5047.928,1595037,144132,17,11,0,6,13436.0
2016-01-03,LOS ANGELES CA,Yellow Cab,320.61,8297.93,4304.2788,1595037,144132,15,6,0,9,13939.8
2016-01-03,NEW YORK NY,Pink Cab,79.56,1404.92,820.7,8405837,302149,3,2,0,1,8783.333333333334
2016-01-03,NEW YORK NY,Yellow Cab,671.56,21016.05,9004.9344,8405837,302149,29,15,0,14,14630.655172413793
2016-01-03,ORANGE COUNTY,Pink Cab,10.99,218.63,116.55,1030185,12994,2,1,0,1,9166.0
2016-01-03,ORANGE COUNTY,Yellow Cab,22.23,707.68,280.098,1030185,12994,1,0,0,1,10711.0
2016-01-03,SACRAMENTO CA,Pink Cab,71.72999999999999,1636.24,783.9490000000001,545776,7044,2,0,0,2,15440.0
2016-01-03,SAN DIEGO CA,Pink Cab,246.18,4889.68,2745.351,959307,69995,9,3,0,6,17224.555555555555
2016-01-03,SAN DIEGO CA,Yellow Cab,120.07,3427.8199999999997,1626.8892,959307,69995,5,2,0,3,17973.4
2016-01-03,SEATTLE WA,Pink Cab,92.51,1136.8300000000002,966.433,671238,25063,3,2,0,1,13835.666666666666
2016-01-03,SEATTLE WA,Yellow Cab,163.74,5256.08,2227.1664,671238,25063,7,2,0,5,16147.142857142857
2016-01-03,SILICON VALLEY,Pink Cab,118.32,2128.31,1374.536,1177609,27247,5,2,0,3,22710.8
2016-01-03,WASHINGTON DC,Pink Cab,110.75999999999999,1418.79,1202.24,418859,127001,4,1,0,3,16541.25
2016-01-03,WASHINGTON DC,Yellow Cab,447.03,9959.43,5789.0892,418859,127001,17,5,0,12,11550.235294117647
2016-01-04,AUSTIN TX,Yellow Cab,15.82,464.51,220.2144,698371,14978,1,0,0,1,18347.0
2016-01-04,BOSTON MA,Yellow Cab,17.12,306.24,219.8208,248968,80021,1,0,0,1,18975.0
2016-01-04,CHICAGO IL,Yellow Cab,192.26,3753.81,2696.7552,1955130,164468,8,4,0,4,15166.875
2016-01-04,LOS ANGELES CA,Pink Cab,30.24,524.77,323.328,1595037,144132,2,2,0,0,15831.5
2016-01-04,LOS ANGELES CA,Yellow Cab,108.17,2316.43,1465.5696,1595037,144132,4,0,0,4,13886.75
2016-01-04,NEW YORK NY,Pink Cab,49.06,741.3000000000001,514.1510000000001,8405837,302149,2,0,0,2,19117.0
2016-01-04,NEW YORK NY,Yellow Cab,65.22,1808.9,879.9336000000001,8405837,302149,3,3,0,0,18755.0
2016-01-04,ORANGE COUNTY,Yellow Cab,11.2,302.45,135.744,1030185,12994,1,0,0,1,27305.0
2016-01-04,SAN DIEGO CA,Yellow Cab,13.56,309.89,180.6192,959307,69995,1,0,0,1,5263.0
2016-01-04,SILICON VALLEY,Yellow Cab,4.76,130.77,67.4016,1177609,27247,1,1,0,0,5005.0
2016-01-04,WASHINGTON DC,Yellow Cab,21.06,393.67,270.4104,418859,127001,1,0,0,1,7420.0
2016-01-05,ATLANTA GA,Yellow Cab,36.3,1036.84,435.6,814885,24701,1,0,0,1,5644.0
2016-01-05,CHICAGO IL,Yellow Cab,213.39,4128.79,2855.3160000000003,1955130,164468,6,3,0,3,13920.666666666666
2016-01-05,DALLAS TX,Yellow Cab,99.49,2548.17,1224.9312,942908,22157,3,3,0,0,13049.333333333334
2016-01-05,LOS ANGELES CA,Pink Cab,42.519999999999996,856.1700000000001,484.276,1595037,144132,2,0,0,2,5428.0
2016-01-05,LOS ANGELES CA,Yellow Cab,71.88,1543.08,947.886,1595037,144132,5,2,0,3,12534.0
2016-01-05,NEW YORK NY,Yellow Cab,352.58,9584.970000000001,4668.360000000001,8405837,302149,14,3,0,11,15204.92857142857
2016-01-05,PITTSBURGH PA,Pink Cab,12.65,198.92,150.535,542085,3643,1,1,0,0,3605.0
2016-01-05,SAN DIEGO CA,Pink Cab,73.25999999999999,1155.1100000000001,777.5550000000001,959307,69995,2,1,0,1,17912.5
2016-01-05,SAN DIEGO CA,Yellow Cab,33.87,881.1,472.662,959307,69995,2,1,0,1,20315.0
2016-01-05,SEATTLE WA,Yellow Cab,20.71,518.2,285.798,671238,25063,1,1,0,0,13428.0
2016-01-05,SILICON VALLEY,Yellow Cab,40.56,1332.31,569.4624,1177609,27247,1,0,0,1,15248.0
2016-01-05,WASHINGTON DC,Pink Cab,29.75,295.6,348.075,418859,127001,1,0,0,1,2035.0
2016-01-05,WASHINGTON DC,Yellow Cab,215.87,4123.66,2898.9888,418859,127001,8,4,0,4,13530.875
2016-01-06,ATLANTA GA,Pink Cab,28.62,358.52,334.854,814885,24701,1,0,0,1,9237.0
2016-01-06,ATLANTA GA,Yellow Cab,98.39,2974.45,1259.4432,814885,24701,4,2,0,2,18496.0
2016-01-06,AUSTIN TX,Yellow Cab,26.73,846.41,349.6284,698371,14978,1,0,0,1,23386.0
2016-01-06,BOSTON MA,Pink Cab,67.32,972.9,746.252,248968,80021,4,2,0,2,10954.5
2016-01-06,BOSTON MA,Yellow Cab,92.13,1686.0900000000001,1197.1596,248968,80021,5,3,0,2,19370.2
2016-01-06,CHICAGO IL,Pink Cab,24.75,345.15,294.525,1955130,164468,1,0,0,1,34757.0
2016-01-06,CHICAGO IL,Yellow Cab,598.3,11916.17,7975.8672,1955130,164468,25,8,0,17,16088.48
2016-01-06,DALLAS TX,Pink Cab,9.45,73.43,98.28,942908,22157,1,0,0,1,31491.0
2016-01-06,DALLAS TX,Yellow Cab,56.78,1521.6599999999999,802.524,942908,22157,2,1,0,1,13317.5
2016-01-06,DENVER CO,Pink Cab,28.6,220.26,331.76,754233,12421,1,1,0,0,33152.0
2016-01-06,LOS ANGELES CA,Pink Cab,150.15,2893.9900000000002,1633.288,1595037,144132,6,3,0,3,15084.0
2016-01-06,LOS ANGELES CA,Yellow Cab,160.27,3624.04,2046.6372000000001,1595037,144132,8,4,0,4,12694.875
2016-01-06,MIAMI FL,Yellow Cab,26.5,641.32,330.72,1339155,17675,1,0,0,1,20988.0
2016-01-06,NASHVILLE TN,Yellow Cab,41.4,1174.32,506.736,327225,9270,1,1,0,0,14640.0
2016-01-06,NEW YORK NY,Pink Cab,63.629999999999995,925.5899999999999,711.398,8405837,302149,3,2,0,1,16300.333333333334
2016-01-06,NEW YORK NY,Yellow Cab,293.79,7915.99,3676.1868,8405837,302149,15,6,0,9,15501.866666666667
2016-01-06,ORANGE COUNTY,Pink Cab,17.34,254.89,202.878,1030185,12994,1,0,0,1,2363.0
2016-01-06,SACRAMENTO CA,Yellow Cab,58.2,1269.83,749.8848,545776,7044,2,1,0,1,16927.5
2016-01-06,SAN DIEGO CA,Pink Cab,64.98,1129.1,687.5219999999999,959307,69995,3,1,0,2,14594.0
2016-01-06,SAN DIEGO CA,Yellow Cab,54.14,1367.28,687.852,959307,69995,4,1,0,3,14996.0
2016-01-06,SEATTLE WA,Pink Cab,21.42,237.37,222.768,671238,25063,1,0,0,1,23282.0
2016-01-06,SEATTLE WA,Yellow Cab,37.24,1013.72,536.256,671238,25063,1,0,0,1,12593.0
2016-01-06,SILICON VALLEY,Pink Cab,32.76,546.39,357.084,1177609,27247,1,0,0,1,13202.0
2016-01-06,SILICON VALLEY,Yellow Cab,39.24,1171.78,475.5888,1177609,27247,1,1,0,0,11402.0
2016-01-06,WASHINGTON DC,Yellow Cab,343.3,6575.93,4441.0596,418859,127001,16,7,0,9,14222.625
2016-01-07,ATLANTA GA,Pink Cab,39.230000000000004,449.83,414.626,814885,24701,2,2,0,0,18655.5
2016-01-07,ATLANTA GA,Yellow Cab,96.06,3118.34,1266.0516,814885,24701,4,1,0,3,12039.75
2016-01-07,AUSTIN TX,Pink Cab,35.65,466.1,377.89,698371,14978,1,0,0,1,19980.0
2016-01-07,BOSTON MA,Pink Cab,20.09,295.13,221.62699999999998,248968,80021,2,0,0,2,10394.0
2016-01-07,BOSTON MA,Yellow Cab,125.44,2126.33,1584.4176,248968,80021,4,1,0,3,11812.5
2016-01-07,CHICAGO IL,Pink Cab,61.25,778.11,647.815,1955130,164468,2,1,0,1,4393.5
2016-01-07,CHICAGO IL,Yellow Cab,626.88,12636.15,8193.8856,1955130,164468,27,14,0,13,14856.888888888889
2016-01-07,DALLAS TX,Pink Cab,22.4,175.8,246.4,942908,22157,1,1,0,0,21243.0
2016-01-07,DALLAS TX,Yellow Cab,103.89000000000001,2764.95,1304.1936,942908,22157,3,2,0,1,18060.666666666668
2016-01-07,DENVER CO,Pink Cab,12.84,115.9,132.252,754233,12421,1,1,0,0,4437.0
2016-01-07,LOS ANGELES CA,Pink Cab,55.04,1046.8899999999999,617.84,1595037,144132,3,1,0,2,18011.666666666668
2016-01-07,LOS ANGELES CA,Yellow Cab,361.54,8006.93,4846.6956,1595037,144132,18,7,0,11,16733.5
2016-01-07,MIAMI FL,Yellow Cab,54.150000000000006,1249.67,742.05,1339155,17675,2,0,0,2,14701.5
2016-01-07,NEW YORK NY,Pink Cab,65.67,953.45,741.329,8405837,302149,3,2,0,1,16204.0
2016-01-07,NEW YORK NY,Yellow Cab,490.59999999999997,13639.03,6295.7508,8405837,302149,22,10,0,12,16325.5
2016-01-07,ORANGE COUNTY,Pink Cab,26.19,439.37,301.185,1030185,12994,1,1,0,0,22310.0
2016-01-07,ORANGE COUNTY,Yellow Cab,11.91,289.21000000000004,161.7516,1030185,12994,2,0,0,2,14373.0
2016-01-07,PHOENIX AZ,Yellow Cab,36.26,1002.4,469.9296,943999,6133,1,0,0,1,24041.0
2016-01-07,SAN DIEGO CA,Pink Cab,35.0,589.01,402.5,959307,69995,1,0,0,1,17313.0
2016-01-07,SAN DIEGO CA,Yellow Cab,235.0,5661.03,3187.9104,959307,69995,9,3,0,6,15642.777777777777
2016-01-07,SEATTLE WA,Pink Cab,81.6,765.45,932.292,671238,25063,3,2,0,1,13604.333333333334
2016-01-07,SEATTLE WA,Yellow Cab,36.88,948.9300000000001,521.5392,671238,25063,2,0,0,2,21119.5
2016-01-07,SILICON VALLEY,Pink Cab,48.03,749.59,540.197,1177609,27247,3,2,0,1,12682.666666666666
2016-01-07,SILICON VALLEY,Yellow Cab,32.76,964.72,441.624,1177609,27247,3,1,0,2,16367.666666666666
2016-01-07,TUCSON AZ,Yellow Cab,38.88,1138.99,536.544,631442,5712,1,0,0,1,4254.0
2016-01-07,WASHINGTON DC,Pink Cab,17.85,200.49,194.565,418859,127001,1,0,0,1,5686.0
2016-01-07,WASHINGTON DC,Yellow Cab,364.36,6975.75,4782.9264,418859,127001,19,7,0,12,16871.052631578947
2016-01-08,ATLANTA GA,Pink Cab,30.45,370.95,313.635,814885,24701,1,0,0,1,10813.0
2016-01-08,ATLANTA GA,Yellow Cab,18.9,609.5,267.624,814885,24701,1,0,0,1,15771.0
2016-01-08,BOSTON MA,Pink Cab,59.739999999999995,858.81,705.802,248968,80021,2,2,0,0,13281.0
2016-01-08,BOSTON MA,Yellow Cab,124.03,2273.14,1604.6196,248968,80021,5,2,0,3,13884.0
2016-01-08,CHICAGO IL,Pink Cab,39.55,540.93,454.825,1955130,164468,1,0,0,1,11230.0
2016-01-08,CHICAGO IL,Yellow Cab,337.87,6868.2,4385.7996,1955130,164468,19,4,0,15,15085.368421052632
2016-01-08,DALLAS TX,Yellow Cab,56.36,1563.1799999999998,738.336,942908,22157,2,2,0,0,19214.5
2016-01-08,DENVER CO,Yellow Cab,27.84,875.47,394.2144,754233,12421,1,0,0,1,6787.0
2016-01-08,LOS ANGELES CA,Pink Cab,151.5,2918.75,1701.94,1595037,144132,7,3,0,4,17004.285714285714
2016-01-08,LOS ANGELES CA,Yellow Cab,215.88,4842.7,2792.64,1595037,144132,11,5,0,6,18400.090909090908
2016-01-08,MIAMI FL,Pink Cab,37.76,535.83,426.688,1339155,17675,1,1,0,0,17133.0
2016-01-08,MIAMI FL,Yellow Cab,4.28,100.59,57.0096,1339155,17675,1,1,0,0,13257.0
2016-01-08,NASHVILLE TN,Pink Cab,36.36,550.39,418.14,327225,9270,1,1,0,0,12845.0
2016-01-08,NEW YORK NY,Pink Cab,45.150000000000006,682.3,492.97499999999997,8405837,302149,2,2,0,0,25578.5
2016-01-08,NEW YORK NY,Yellow Cab,625.58,17044.58,8159.8296,8405837,302149,27,11,0,16,15868.555555555555
2016-01-08,ORANGE COUNTY,Yellow Cab,47.74,1148.87,640.7016,1030185,12994,2,2,0,0,12980.0
2016-01-08,PHOENIX AZ,Yellow Cab,12.84,351.51,161.784,943999,6133,1,0,0,1,2733.0
2016-01-08,SAN DIEGO CA,Pink Cab,36.94,621.92,418.39,959307,69995,2,1,0,1,12042.5
2016-01-08,SAN DIEGO CA,Yellow Cab,135.64000000000001,3208.2599999999998,1797.8592,959307,69995,5,2,0,3,15079.0
2016-01-08,SEATTLE WA,Pink Cab,32.67,325.83,329.967,671238,25063,1,1,0,0,8266.0
2016-01-08,SEATTLE WA,Yellow Cab,124.67999999999999,3308.8,1656.0576,671238,25063,5,0,0,5,20174.8
2016-01-08,SILICON VALLEY,Pink Cab,23.28,380.81,256.08,1177609,27247,1,0,0,1,7082.0
2016-01-08,TUCSON AZ,Yellow Cab,7.91,231.72,94.92,631442,5712,1,1,0,0,7467.0
2016-01-08,WASHINGTON DC,Pink Cab,61.21,657.05,667.491,418859,127001,2,0,0,2,8108.0
2016-01-08,WASHINGTON DC,Yellow Cab,168.71,3274.8599999999997,2242.596,418859,127001,9,4,0,5,15817.777777777777
2016-01-09,ATLANTA GA,Pink Cab,35.28,544.11,352.8,814885,24701,1,0,0,1,5021.0
2016-01-09,ATLANTA GA,Yellow Cab,139.12,4058.46,1818.1368,814885,24701,6,3,0,3,17535.166666666668
2016-01-09,BOSTON MA,Pink Cab,44.9,460.53,482.135,248968,80021,3,1,0,2,18837.0
2016-01-09,BOSTON MA,Yellow Cab,494.55,9033.04,6482.8392,248968,80021,19,8,0,11,19341.315789473683
2016-01-09,CHICAGO IL,Pink Cab,154.23,2326.7799999999997,1722.857,1955130,164468,7,5,0,2,13876.714285714286
2016-01-09,CHICAGO IL,Yellow Cab,1191.3,27234.28,15635.5488,1955130,164468,54,19,0,35,15423.851851851852
2016-01-09,DALLAS TX,Pink Cab,14.85,172.09,152.955,942908,22157,1,0,0,1,15441.0
2016-01-09,DALLAS TX,Yellow Cab,112.54,3249.32,1501.8696,942908,22157,4,3,0,1,13318.5
2016-01-09,DENVER CO,Yellow Cab,35.07,959.41,473.5836,754233,12421,2,1,0,1,12900.5
2016-01-09,LOS ANGELES CA,Pink Cab,350.06,6640.11,3871.732,1595037,144132,13,4,0,9,17042.46153846154
2016-01-09,LOS ANGELES CA,Yellow Cab,402.54,10555.56,5312.8787999999995,1595037,144132,20,9,0,11,10418.2
2016-01-09,MIAMI FL,Pink Cab,25.5,331.07,270.3,1339155,17675,1,0,0,1,3578.0
2016-01-09,MIAMI FL,Yellow Cab,79.18,1966.3899999999999,1012.7976000000001,1339155,17675,3,1,0,2,16966.333333333332
2016-01-09,NASHVILLE TN,Pink Cab,22.61,518.14,253.232,327225,9270,1,1,0,0,33965.0
2016-01-09,NASHVILLE TN,Yellow Cab,8.48,183.24,110.9184,327225,9270,1,1,0,0,11323.0
2016-01-09,NEW YORK NY,Pink Cab,285.69,4379.67,3195.9269999999997,8405837,302149,12,6,0,6,16710.083333333332
2016-01-09,NEW YORK NY,Yellow Cab,1235.11,34736.33,16482.9372,8405837,302149,52,19,0,33,14812.26923076923
2016-01-09,ORANGE COUNTY,Pink Cab,13.68,268.41,136.8,1030185,12994,1,1,0,0,24370.0
2016-01-09,PHOENIX AZ,Pink Cab,41.3,761.68,417.13,943999,6133,1,0,0,1,19940.0
2016-01-09,PHOENIX AZ,Yellow Cab,14.04,361.75,181.9584,943999,6133,1,0,0,1,6120.0
2016-01-09,PITTSBURGH PA,Pink Cab,28.35,520.1,334.53,542085,3643,1,1,0,0,3616.0
2016-01-09,PITTSBURGH PA,Yellow Cab,34.29,1229.6499999999999,445.14,542085,3643,2,2,0,0,4213.5
2016-01-09,SACRAMENTO CA,Pink Cab,47.6,540.72,480.76,545776,7044,1,0,0,1,16392.0
2016-01-09,SAN DIEGO CA,Pink Cab,156.91,2539.64,1690.798,959307,69995,8,2,0,6,19061.25
2016-01-09,SAN DIEGO CA,Yellow Cab,201.22,4641.39,2650.4016,959307,69995,8,4,0,4,15522.5
2016-01-09,SEATTLE WA,Pink Cab,60.769999999999996,561.73,692.446,671238,25063,2,1,0,1,17195.0
2016-01-09,SEATTLE WA,Yellow Cab,56.68,1301.11,687.7512,671238,25063,3,1,0,2,14483.666666666666
2016-01-09,SILICON VALLEY,Pink Cab,47.06999999999999,724.45,523.304,1177609,27247,2,1,0,1,15255.5
2016-01-09,SILICON VALLEY,Yellow Cab,130.66,3986.9700000000003,1744.9176,1177609,27247,6,3,0,3,17135.0
2016-01-09,TUCSON AZ,Yellow Cab,31.36,495.18,421.4784,631442,5712,1,0,0,1,13033.0
2016-01-09,WASHINGTON DC,Pink Cab,36.72,361.03000000000003,387.98400000000004,418859,127001,2,0,0,2,14368.0
2016-01-09,WASHINGTON DC,Yellow Cab,1167.75,20598.079999999998,15430.2528,418859,127001,50,16,0,34,13190.68
2016-01-10,ATLANTA GA,Pink Cab,36.400000000000006,492.81,415.65999999999997,814885,24701,2,0,0,2,9416.0
2016-01-10,ATLANTA GA,Yellow Cab,16.34,366.21999999999997,223.536,814885,24701,2,1,0,1,16136.0
2016-01-10,AUSTIN TX,Yellow Cab,95.17,2138.8199999999997,1249.1604,698371,14978,3,2,0,1,15316.0
2016-01-10,BOSTON MA,Pink Cab,109.0,1194.79,1177.93,248968,80021,4,2,0,2,15290.0
2016-01-10,BOSTON MA,Yellow Cab,382.52,6703.22,5027.2596,248968,80021,17,9,0,8,13992.235294117647
2016-01-10,CHICAGO IL,Pink Cab,327.55,4768.11,3659.461,1955130,164468,16,6,0,10,14283.625
2016-01-10,CHICAGO IL,Yellow Cab,751.13,17098.03,9974.8176,1955130,164468,35,14,0,21,15754.8
2016-01-10,DALLAS TX,Pink Cab,3.21,36.1,33.705,942908,22157,1,1,0,0,3611.0
2016-01-10,DALLAS TX,Yellow Cab,105.62,3119.78,1418.1768,942908,22157,4,2,0,2,16547.25
2016-01-10,DENVER CO,Pink Cab,16.49,191.2,183.039,754233,12421,1,1,0,0,14902.0
2016-01-10,DENVER CO,Yellow Cab,140.28,4092.09,1754.1252,754233,12421,5,2,0,3,12974.8
2016-01-10,LOS ANGELES CA,Pink Cab,280.83,5466.4800000000005,3050.473,1595037,144132,10,3,0,7,17172.9
2016-01-10,LOS ANGELES CA,Yellow Cab,611.03,15868.84,7839.8712,1595037,144132,25,8,0,17,17327.72
2016-01-10,MIAMI FL,Pink Cab,25.05,382.90999999999997,258.765,1339155,17675,2,0,0,2,4892.0
2016-01-10,NASHVILLE TN,Pink Cab,56.98,1168.8,597.446,327225,9270,2,1,0,1,21673.0
2016-01-10,NEW YORK NY,Pink Cab,167.71,2692.38,1868.268,8405837,302149,7,1,0,6,17260.85714285714
2016-01-10,NEW YORK NY,Yellow Cab,1502.07,44115.45,19928.562,8405837,302149,60,30,0,30,16018.966666666667
2016-01-10,ORANGE COUNTY,Pink Cab,48.21,924.87,528.162,1030185,12994,3,1,0,2,19124.333333333332
2016-01-10,PHOENIX AZ,Pink Cab,31.32,621.25,313.2,943999,6133,1,1,0,0,20052.0
2016-01-10,PHOENIX AZ,Yellow Cab,23.0,485.99,325.68,943999,6133,1,0,0,1,23058.0
2016-01-10,SACRAMENTO CA,Pink Cab,12.43,210.5,129.272,545776,7044,1,1,0,0,18329.0
2016-01-10,SAN DIEGO CA,Pink Cab,141.32,2359.42,1500.654,959307,69995,7,0,0,7,15459.714285714286
2016-01-10,SAN DIEGO CA,Yellow Cab,198.95000000000002,4656.14,2703.9972000000002,959307,69995,9,4,0,5,15502.333333333334
2016-01-10,SEATTLE WA,Pink Cab,49.54,467.76,546.8820000000001,671238,25063,4,1,0,3,16549.75
2016-01-10,SEATTLE WA,Yellow Cab,148.74,3555.45,1936.056,671238,25063,6,3,0,3,10506.166666666666
2016-01-10,SILICON VALLEY,Pink Cab,61.14,1030.23,653.801,1177609,27247,2,0,0,2,25378.0
2016-01-10,SILICON VALLEY,Yellow Cab,66.3,1965.01,921.3912,1177609,27247,4,1,0,3,17536.5
2016-01-10,TUCSON AZ,Pink Cab,5.8,99.57,58.58,631442,5712,1,0,0,1,19034.0
2016-01-10,WASHINGTON DC,Pink Cab,81.7,865.38,884.8399999999999,418859,127001,3,2,0,1,17628.333333333332
2016-01-10,WASHINGTON DC,Yellow Cab,770.21,13551.05,10245.1488,418859,127001,34,10,0,24,13964.235294117647
2016-01-11,ATLANTA GA,Pink Cab,21.63,238.02,222.789,814885,24701,1,1,0,0,22378.0
2016-01-11,ATLANTA GA,Yellow Cab,49.93,1430.52,676.7556,814885,24701,3,2,0,1,13701.333333333334
2016-01-11,BOSTON MA,Pink Cab,51.6,728.84,609.6,248968,80021,2,1,0,1,15142.5
2016-01-11,BOSTON MA,Yellow Cab,117.89000000000001,2271.49,1593.3528000000001,248968,80021,5,2,0,3,14953.8
2016-01-11,CHICAGO IL,Pink Cab,52.32,733.09,579.616,1955130,164468,2,0,0,2,9435.0
2016-01-11,CHICAGO IL,Yellow Cab,567.08,11435.19,7540.6632,1955130,164468,23,10,0,13,13952.217391304348
2016-01-11,DALLAS TX,Pink Cab,9.42,74.07,102.374,942908,22157,2,1,0,1,14861.0
2016-01-11,DALLAS TX,Yellow Cab,20.34,506.77,248.9616,942908,22157,1,0,0,1,6371.0
2016-01-11,DENVER CO,Pink Cab,3.84,34.98,45.312,754233,12421,1,0,0,1,2880.0
2016-01-11,DENVER CO,Yellow Cab,15.08,483.16,199.056,754233,12421,1,0,0,1,17950.0
2016-01-11,LOS ANGELES CA,Pink Cab,73.32,1386.2,825.142,1595037,144132,3,1,0,2,9372.333333333334
2016-01-11,LOS ANGELES CA,Yellow Cab,243.16,5387.73,3191.6472,1595037,144132,10,3,0,7,15963.1
2016-01-11,NEW YORK NY,Pink Cab,12.96,163.47,149.04,8405837,302149,1,0,0,1,6194.0
2016-01-11,NEW YORK NY,Yellow Cab,366.73,9759.8,4984.8432,8405837,302149,14,7,0,7,14907.92857142857
2016-01-11,SACRAMENTO CA,Yellow Cab,5.0,131.02,68.4,545776,7044,1,1,0,0,3809.0
2016-01-11,SAN DIEGO CA,Yellow Cab,31.599999999999998,644.6899999999999,401.844,959307,69995,3,0,0,3,15916.333333333334
2016-01-11,SEATTLE WA,Yellow Cab,16.32,283.22,215.424,671238,25063,1,0,0,1,22251.0
2016-01-11,SILICON VALLEY,Pink Cab,11.88,149.92,131.868,1177609,27247,1,0,0,1,13109.0
2016-01-11,SILICON VALLEY,Yellow Cab,36.63,1181.35,501.0984,1177609,27247,1,0,0,1,18139.0
2016-01-11,WASHINGTON DC,Yellow Cab,172.82999999999998,2990.71,2294.8176,418859,127001,9,4,0,5,12743.777777777777
2016-01-12,ATLANTA GA,Yellow Cab,6.6,126.46,82.368,814885,24701,1,1,0,0,22342.0
